# ˆê’vŒn—ñ,,,,,,,,,,
# 2000”N1ŒŽ‚©‚ç2007”N10ŒŽ,,,,,,,,,,
C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
94.8,100.6,21929,97.1,90.5,85.1,-1.3,-0.5,NA,90.1,0.58
93.6,99.5,21829,95.9,90.4,84.5,1,0.5,NA,89.1,0.6
93.6,99.1,21981,95.6,90.1,83.3,0.4,0.5,93371,88.9,0.6
93.1,98.4,21804,95.7,90.7,80.1,-1.1,-0.2,NA,87.8,0.61
94.1,99.6,21964,96.8,91.9,82.7,-0.3,0.1,NA,89.4,0.61
93.5,98.7,21599,96.2,91.5,85.1,-0.1,1.6,91741,89.2,0.62
94,99.8,20969,96.4,93.3,83.7,-0.7,-1.2,NA,89.7,0.63
93,100.5,21530,95.9,94.1,84.3,0.2,-0.4,NA,88.6,0.65
96.4,103.3,21779,98.2,94.7,86.1,0.3,1.3,98128,91.9,0.68
97.5,105.4,21655,99.8,96.4,89,2.4,3.9,NA,92.4,0.7
98.8,105.5,21922,100.6,97.5,86.7,-1.1,-2.3,NA,92,0.73
98.2,106.5,21771,100.2,98.7,87,1.7,2.9,109297,91.6,0.75
101,109,21974,102.7,99.2,92.5,3.3,3.5,NA,94.5,0.76
97.2,104.7,21955,98.6,100.1,89.4,4.1,2.3,NA,92.7,0.76
98.4,107,22062,99.5,100.5,86.1,0.6,2.1,112652,92.8,0.76
101,108.3,22231,102.2,100.3,92.2,1.1,5.4,NA,94.5,0.78
100.5,109.1,22468,102.2,100.9,92.4,-0.3,-0.3,NA,94.7,0.8
101,109.5,22464,102.1,102.1,94,-0.9,6.6,122022,95.3,0.82
101.1,108.6,22705,102.5,100.3,95,2.7,7.9,NA,95.7,0.83
100.8,108.3,22404,102.7,100.7,93.4,-0.3,7.1,NA,94.8,0.84
100.2,108.9,22364,102.2,101,92,0.8,3.9,125224,95.1,0.86
99.1,106,22353,102.2,100.4,91.7,0,3.1,NA,94,0.89
100.2,107.6,22257,103,99.7,92.2,1.3,8.7,NA,94.4,0.91
100,106.4,22096,101.6,99,93.7,-0.4,4.9,123800,93.9,0.91
101.9,107.8,22376,103.9,99.6,93.9,2.7,4.8,NA,95,0.91
101,106.9,22491,103,99,88.8,-2.8,4.2,NA,93.4,0.91
100.6,108.6,22453,102.8,98.9,90.5,-0.1,0.9,127054,95.1,0.91
101.7,108.1,22503,105.5,99.2,98.2,3.6,3,NA,96.7,0.93
100.9,107.1,22299,103.5,98.4,93.7,2.7,3.1,NA,95.8,0.94
100.8,110.1,22549,104,100.9,93.5,2.9,1.6,128104,96.7,0.95
99.9,109.2,22525,102.5,99.8,93.4,0.4,-0.2,NA,96.5,0.96
100.9,110.9,22696,102.9,100.2,99.2,1.4,5.2,NA,97.4,0.97
101.1,112.7,22821,103.1,99.4,90.5,0,1.5,128486,97.3,0.98
101.6,113.1,22916,104,100.9,94.5,-0.5,2.5,NA,98.4,0.98
103.6,114.7,22744,105.3,101.3,96.1,0.6,5,NA,100.2,0.99
104.9,115.8,23098,106.2,102.3,97.1,1.2,5.6,129762,101.1,1.01
103.8,115,23127,105.1,103.2,94.1,-0.5,7.5,NA,100.1,1.03
103.3,114.1,23057,104.7,103.4,93.1,1.2,7.1,NA,98.7,1.04
104.3,115.5,23122,104.8,103.3,93.3,1.1,4,128254,101,1.02
104.9,116.1,23291,105.5,104,98.1,-0.9,5.1,NA,101.1,1.04
104.6,115.3,23332,104.5,103.9,96.9,0.1,8.8,NA,101.9,1.06
106.1,116.6,23485,106.2,104.3,98.9,0.2,5.7,135488,102.6,1.07
106,117.9,23606,106,104.3,99,-0.1,6.4,NA,102,1.09
107.2,120.8,23960,107.2,103.2,98.6,1,7,NA,104.1,1.08
106.7,119.1,23641,106.3,102.8,95.8,0.5,4,143376,102.8,1.08
108.3,119.8,24074,107.4,102.6,99.4,-0.1,7.9,NA,103.8,1.07
108.7,121,24233,107.4,103.5,98.2,-0.3,4.7,NA,104.9,1.07
109.6,121,24368,108.2,103.4,97,-0.2,2.9,142199,105.2,1.07
107.1,119.3,24120,105.9,103.9,98.8,-0.9,3.3,NA,104.7,1.06
107.9,119.7,24227,106.3,105,99.5,-0.2,3.9,NA,103.8,1.05
107.6,120.6,24625,106.3,103.3,93.1,-0.7,1.9,138820,104.5,1.03
107.4,121.2,24366,104.6,103.6,99.2,-0.7,5.8,NA,104.8,1.05
107.1,121.3,24445,105,102.2,98.4,0.1,7.7,NA,105.6,1.06
108.5,122.5,24583,105.8,103.7,97.1,-0.4,5.4,146942,106.5,1.07
108.1,122.3,24219,104.4,103.7,100.4,-2.3,5.9,NA,105.1,1.07
111.9,128.5,25134,109.7,103.8,101,0.5,3.8,NA,108.3,1.06
110.3,127.8,25199,108.6,104,94.8,0.5,1.2,143095,106.4,1.05
112.1,129.2,24900,NA,105.4,98.7,0.8,5.3,NA,108.8,1.02
